"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"4N1";"IPD50N04S4";"IPD50N04S4";"TO252";"";"";"";"";"";
"4N2";"IPD50N04S4";"IPD50N04S4";"TO252";"";"";"";"";"";
"C1";"100nF";"C0603";"0603";"SMD capacitor";"";"";"";"";
"C2";"10uF";"C1206";"1206";"SMD capacitor";"";"";"";"";
"C3";"1nF";"C0805";"0805";"SMD capacitor";"";"";"";"";
"C4";"100nF";"C1206";"1206";"SMD capacitor";"";"";"";"";
"C5";"22uF";"C_ELECTROLYTIC2";"C_EL_6.3X5.4";"Electrolytic capacitor";"";"";"";"";
"C6";"10uF";"C1206";"1206";"SMD capacitor";"";"";"";"";
"C8";"10uF";"C1206";"1206";"SMD capacitor";"";"";"";"";
"C9";"1nF";"C0805";"0805";"SMD capacitor";"";"";"";"";
"C10";"100nF";"C0805";"0805";"SMD capacitor";"";"";"";"";
"C11";"100nF";"C1206";"1206";"SMD capacitor";"";"";"";"";
"C13";"100nF";"C0805";"0805";"SMD capacitor";"";"";"";"";
"D1";"";"LED3MM";"LED_3MM";"LED";"";"";"";"";
"D2";"";"DIODESOT23";"SOT23";"Generic Diode";"";"";"";"";
"D3";"";"DIODESOT23";"SOT23";"Generic Diode";"";"";"";"";
"D4";"";"LED3MM";"LED_3MM";"LED";"";"";"";"";
"D5";"";"DIAC-GT32";"GT32";"DIAC";"";"";"";"";
"D6";"";"DIODESOT23";"SOT23";"Generic Diode";"";"";"";"";
"D7";"";"DIODESOT23";"SOT23";"Generic Diode";"";"";"";"";
"D8";"S1D";"DIODES1D";"S1D";"Generic Diode";"";"";"";"";
"D9";"S1D";"DIODES1D";"S1D";"Generic Diode";"";"";"";"";
"F1";"2.5A";"GSH15";"GSH15";"FUSE HOLDER";"";"64900001039";"1271673";"02P0318";
"IC1";"LM317";"LM317MABDT";"DPACK";"500 mA Adjustable Output Positive Voltage Regulator";"";"";"";"";
"J1";"";"JP4";"JP4";"";"";"";"";"";
"J2";"";"JP4";"JP4";"";"";"";"";"";
"J3";"";"JP4";"JP4";"";"";"";"";"";
"J4";"";"JP4";"JP4";"";"";"";"";"";
"JP1";"";"PINHD-2X4";"2X04";"PIN HEADER";"";"";"";"";
"JP2";"";"PINHD-2X2";"2X02";"PIN HEADER";"";"";"";"";
"JP3";"";"PINHD-2X10";"2X10";"PIN HEADER";"";"";"";"";
"JP4";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP5";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP6";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP7";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";
"JP9";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";
"JP10";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP11";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";"";"";"";
"LED1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";
"OK2";"IL410";"IL410";"DIL06";"SIEMENS OPTO COUPLER";"VISHAY/TELEFUNKEN";"IL410";"1045434";"58K1715";
"OUT1";"BANANA";"BANANA";"BANANA";"";"";"";"";"";
"OUT2";"BANANA";"BANANA";"BANANA";"";"";"";"";"";
"P1";"BANANA";"BANANA";"BANANA";"";"";"";"";"";
"P2";"BANANA";"BANANA";"BANANA";"";"";"";"";"";
"R1";"100K 1W";"R1206";"1206";"";"";"";"";"";
"R2";"100K 1W";"R1206";"1206";"";"";"";"";"";
"R3";"10K";"R0805";"0805";"";"";"";"";"";
"R4";"287R";"R0805";"0805";"";"";"";"";"";
"R5";"4K7";"R0805";"0805";"";"";"";"";"";
"R6";"10K";"R0805";"0805";"";"";"";"";"";
"R7";"1K";"R0805";"0805";"";"";"";"";"";
"R8";"100K 1W";"R1206";"1206";"";"";"";"";"";
"R9";"4K7";"R1206";"1206";"";"";"";"";"";
"R10";"10K";"R0805";"0805";"";"";"";"";"";
"R11";"240K";"R0805";"0805";"";"";"";"";"";
"R12";"470R";"R0805";"0805";"";"";"";"";"";
"R13";"1K";"R0805";"0805";"";"";"";"";"";
"R14";"240K";"R0805";"0805";"";"";"";"";"";
"R15";"4K7";"R0805";"0805";"";"";"";"";"";
"R16";"47K";"R0805";"0805";"";"";"";"";"";
"R17";"4K7";"R0805";"0805";"";"";"";"";"";
"R18";"4K7";"R0805";"0805";"";"";"";"";"";
"R19";"110";"R1206";"1206";"";"";"";"";"";
"R20";"1K";"R1206";"1206";"";"";"";"";"";
"R21";"110";"R1206";"1206";"";"";"";"";"";
"R22";"390R";"R0805";"0805";"";"";"";"";"";
"R23";"100K 1W";"R1206";"1206";"";"";"";"";"";
"R24";"4K7";"R0805";"0805";"";"";"";"";"";
"R25";"47K";"R0805";"0805";"";"";"";"";"";
"R26";"240K";"R0805";"0805";"";"";"";"";"";
"R27";"470R";"R0805";"0805";"";"";"";"";"";
"R28";"1K";"R0805";"0805";"";"";"";"";"";
"R29";"240K";"R0805";"0805";"";"";"";"";"";
"R30";"4K7";"R0805";"0805";"";"";"";"";"";
"R31";"240R";"R0805";"0805";"";"";"";"";"";
"R32";"4K7";"R0805";"0805";"";"";"";"";"";
"SP1";"KSTG951AP";"KSTG951AP";"KSTG951AP";"SPEAKER";"";"";"http://ro.farnell.com/kingstate/kstg951ap/buzzer-magnetic-pin-85db-5v/dp/2215078?Ntt=KSTG951AP";"unknown";
"T1";"NUD3160";"NUD3160-DUALSOT23-6";"SOT23-6";"";"";"";"";"";
"T2";"NUD3160";"NUD3160-DUALSOT23-6";"SOT23-6";"";"";"";"";"";
"T3";"BT136";"BT136";"TO220AB";"Triac BT136 series E sensitive gate";"";"";"";"";
"T4";"NUD3160";"NUD3160-DUALSOT23-6";"SOT23-6";"";"";"";"";"";
"U$1";"FOD814SD";"FOD814SD";"DIP_4PIN";"";"";"";"";"";
"U$2";"5V";"ZENER";"ZENER";"Zener diode  -  Farnell";"";"";"";"";
"U$3";"5V";"ZENER";"ZENER";"Zener diode  -  Farnell";"";"";"";"";
"U1";"MSP340G2443";"G2XX3---PW28";"PW28";"MSP430G2XX1";"";"";"";"";
"U2";"UPD166010";"UPD166010";"TO252-51";"";"";"";"";"";
"U3";"MCP6V08";"MCP6V08SN";"SO08";"Single Op Amp 2.7V to 6.0V Single Supply CMOS";"";"";"";"";
"U4";"UPD166010";"UPD166010";"TO252-51";"";"";"";"";"";
"U5";"MCP6V08";"MCP6V08SN";"SO08";"Single Op Amp 2.7V to 6.0V Single Supply CMOS";"";"";"";"";
